,State,Account length,Area code,International plan,Voice mail plan,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
1724,40,98,415,2116,1674,0.0,0,0.0,159.6,130,13.57,167.1,88,7.52,6.8,1,1.84,4,1
294,47,45,510,2116,1674,155.7,110,26.47,260.3,103,22.13,192.2,98,8.65,11.0,1,2.97,1,0
2642,38,74,415,2116,1674,102.7,89,17.46,149.3,100,12.69,188.1,114,8.46,11.0,5,2.97,0,0
2915,56,151,415,2116,1674,194.8,106,33.12,292.7,103,24.88,224.6,82,10.11,5.5,3,1.49,0,0
2291,47,51,415,2116,659,236.8,61,40.26,263.4,97,22.39,181.1,91,8.15,11.2,8,3.02,1,0
3014,44,58,408,2116,1674,174.4,112,29.65,265.8,122,22.59,182.4,87,8.21,0.0,0,0.0,4,0
1879,31,81,510,2116,1674,261.4,141,44.44,215.7,102,18.33,271.8,96,12.23,8.0,6,2.16,1,1
2595,51,108,408,2116,659,209.5,108,35.62,109.6,64,9.32,189.7,145,8.54,9.1,6,2.46,6,1
3177,43,75,408,2116,659,225.5,119,38.34,182.0,108,15.47,270.9,106,12.19,9.4,2,2.54,3,0
1905,25,37,415,2116,1674,191.1,69,32.49,129.2,113,10.98,207.5,117,9.34,12.9,1,3.48,0,0
3074,39,177,415,2116,1674,266.1,91,45.24,225.2,79,19.14,224.7,58,10.11,8.9,8,2.4,3,1
2376,75,43,415,2116,1674,199.9,108,33.98,288.4,80,24.51,180.6,103,8.13,11.3,7,3.05,1,0
2789,39,105,415,2116,659,274.7,99,46.7,193.5,118,16.45,299.6,109,13.48,10.8,3,2.92,3,0
133,63,55,415,2116,1674,175.6,147,29.85,161.8,118,13.75,289.5,55,13.03,9.3,4,2.51,0,0
461,60,126,415,217,1674,239.7,87,40.75,281.7,92,23.94,183.5,113,8.26,11.4,1,3.08,1,1
1898,51,225,415,2116,1674,165.4,106,28.12,273.7,109,23.26,210.0,93,9.45,8.7,3,2.35,0,1
80,44,129,510,217,1674,192.9,131,32.79,185.5,101,15.77,205.2,130,9.23,10.9,4,2.94,1,0
2123,75,52,510,2116,659,195.7,119,33.27,106.2,95,9.03,157.4,94,7.08,5.3,3,1.43,2,0
1004,43,113,415,2116,1674,239.7,47,40.75,282.9,110,24.05,238.4,88,10.73,8.7,3,2.35,2,1
2771,75,100,415,2116,1674,166.0,102,28.22,236.1,97,20.07,134.3,93,6.04,10.9,4,2.94,1,0
3060,51,87,510,2116,1674,153.3,106,26.06,224.5,117,19.08,273.4,152,12.3,8.9,5,2.4,2,0
1409,55,200,408,2116,1674,128.2,87,21.79,133.2,105,11.32,177.6,123,7.99,11.2,2,3.02,1,0
445,57,121,415,2116,1674,134.1,112,22.8,195.1,104,16.58,159.6,139,7.18,10.5,2,2.84,2,0
3328,45,79,415,2116,1674,134.7,98,22.9,189.7,68,16.12,221.4,128,9.96,11.8,5,3.19,2,0
1475,37,115,415,2116,659,145.0,72,24.65,194.5,157,16.53,242.3,138,10.9,14.2,3,3.83,2,0
1966,40,74,415,2116,1674,225.2,93,38.28,215.1,120,18.28,241.8,95,10.88,9.1,2,2.46,2,0
1698,50,100,415,2116,1674,235.8,130,40.09,176.0,69,14.96,63.6,122,2.86,7.3,1,1.97,2,0
2885,51,134,415,2116,1674,7.8,86,1.33,171.4,100,14.57,186.5,80,8.39,12.9,2,3.48,2,0
3180,60,115,510,2116,659,133.3,110,22.66,185.7,111,15.78,161.5,113,7.27,5.6,4,1.51,2,0
2077,33,88,510,2116,1674,218.2,76,37.09,169.3,60,14.39,141.1,99,6.35,8.0,1,2.16,1,0
2463,39,66,510,2116,659,88.8,104,15.1,109.6,94,9.32,172.7,107,7.77,7.1,9,1.92,3,0
2017,60,140,415,2116,1674,120.3,108,20.45,240.4,84,20.43,216.4,74,9.74,7.7,3,2.08,4,1
1937,52,121,415,217,659,254.1,127,43.2,180.2,108,15.32,196.2,129,8.83,8.7,4,2.35,3,0
902,56,96,510,2116,659,172.7,86,29.36,133.4,113,11.34,259.5,70,11.68,9.8,3,2.65,1,0
1432,75,43,408,2116,1674,230.2,147,39.13,186.7,121,15.87,128.4,100,5.78,9.2,3,2.48,0,0
1038,53,90,415,2116,1674,261.8,128,44.51,220.6,104,18.75,136.6,91,6.15,9.6,5,2.59,1,0
841,33,82,415,2116,659,155.2,131,26.38,244.5,106,20.78,122.4,68,5.51,10.7,3,2.89,1,0
463,25,37,510,2116,1674,239.9,120,40.78,261.6,88,22.24,207.1,88,9.32,8.9,4,2.4,2,1
287,44,111,415,2116,1674,284.4,89,48.35,157.0,113,13.35,242.8,91,10.93,8.4,8,2.27,0,1
2626,39,55,415,2116,659,105.3,82,17.9,197.4,109,16.78,187.5,91,8.44,8.6,6,2.32,2,0
873,47,106,415,2116,1674,207.9,91,35.34,172.0,109,14.62,191.8,143,8.63,14.4,7,3.89,4,0
279,53,49,415,2116,1674,266.3,90,45.27,207.8,117,17.66,205.0,98,9.23,14.0,2,3.78,2,1
911,52,113,415,2116,1674,272.1,111,46.26,268.5,118,22.82,213.8,105,9.62,8.5,10,2.3,1,1
2104,60,53,415,2116,1674,184.8,98,31.42,216.4,125,18.39,141.1,116,6.35,18.4,3,4.97,2,0
660,50,114,408,2116,1674,203.8,85,34.65,87.8,110,7.46,166.2,122,7.48,11.7,4,3.16,1,0
681,52,93,510,2116,1674,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,0
2992,45,138,415,2116,1674,240.8,104,40.94,144.5,92,12.28,125.7,98,5.66,11.6,1,3.13,0,0
1853,39,50,408,2116,1674,154.7,102,26.3,298.0,108,25.33,210.2,95,9.46,11.1,3,3.0,0,0
605,34,131,510,2116,1674,263.4,123,44.78,151.9,74,12.91,218.5,101,9.83,10.7,2,2.89,2,0
1824,53,195,415,2116,1674,63.2,108,10.74,220.2,88,18.72,184.0,99,8.28,5.1,3,1.38,0,0
819,60,106,408,2116,1674,158.7,74,26.98,64.3,139,5.47,198.5,103,8.93,10.2,4,2.75,1,0
241,33,122,415,2116,1674,35.1,62,5.97,180.8,89,15.37,251.6,58,11.32,12.7,2,3.43,1,0
2287,51,136,408,2116,1674,269.8,106,45.87,228.8,101,19.45,257.5,106,11.59,10.1,8,2.73,1,1
389,45,140,510,2116,659,157.1,77,26.71,172.4,97,14.65,184.5,94,8.3,11.1,9,3.0,1,0
1169,51,140,408,2116,1674,194.8,107,33.12,170.9,99,14.53,225.1,93,10.13,13.9,4,3.75,0,0
2355,38,126,415,2116,1674,103.7,93,17.63,127.0,107,10.8,329.3,66,14.82,14.4,1,3.89,0,0
2312,36,121,510,2116,659,170.4,91,28.97,254.5,90,21.63,219.6,122,9.88,15.1,5,4.08,0,0
1648,42,81,415,2116,1674,145.4,132,24.72,129.3,91,10.99,186.4,109,8.39,5.2,4,1.4,1,0
1765,37,105,510,2116,1674,227.4,121,38.66,268.5,89,22.82,143.3,82,6.45,13.0,4,3.51,1,0
2102,39,89,408,2116,1674,192.1,83,32.66,163.6,88,13.91,169.7,138,7.64,6.1,3,1.65,0,0
3085,40,105,415,2116,1674,156.5,102,26.61,140.2,134,11.92,227.4,111,10.23,12.2,2,3.29,2,0
2889,37,35,415,2116,1674,179.2,59,30.46,283.3,101,24.08,285.4,83,12.84,5.8,7,1.57,2,0
2593,45,132,408,2116,1674,214.6,78,36.48,251.7,98,21.39,240.8,88,10.84,13.9,2,3.75,0,0
1636,50,24,510,2116,1674,243.0,91,41.31,183.9,77,15.63,184.3,109,8.29,15.3,6,4.13,0,1
2274,60,104,415,2116,659,189.1,112,32.15,178.2,97,15.15,199.3,104,8.97,11.1,4,3.0,1,0
346,43,107,510,2116,1674,194.5,97,33.07,186.3,131,15.84,178.3,106,8.02,12.7,1,3.43,2,0
701,43,98,408,2116,1674,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,0
926,57,104,408,2116,1674,138.7,107,23.58,256.9,113,21.84,234.9,74,10.57,10.0,3,2.7,0,0
992,43,98,415,2116,659,121.0,105,20.57,218.9,98,18.61,226.7,110,10.2,12.0,1,3.24,1,0
2509,45,118,415,2116,659,148.7,105,25.28,167.3,105,14.22,270.6,105,12.18,10.4,7,2.81,0,0
614,47,108,415,2116,1674,239.3,102,40.68,223.4,127,18.99,251.4,104,11.31,10.6,6,2.86,0,0
1058,53,36,415,2116,659,149.4,111,25.4,131.8,113,11.2,132.7,87,5.97,6.7,2,1.81,0,0
2706,40,92,415,2116,1674,184.7,60,31.4,262.0,73,22.27,239.5,120,10.78,12.3,6,3.32,2,1
928,57,129,408,2116,1674,207.0,91,35.19,154.9,121,13.17,245.1,112,11.03,13.4,5,3.62,3,0
102,34,87,510,2116,1674,231.3,105,39.32,171.7,108,14.59,67.7,136,3.05,13.0,6,3.51,1,0
775,47,78,415,2116,1674,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,0
262,53,74,415,2116,1674,106.4,84,18.09,140.2,104,11.92,90.9,81,4.09,11.4,3,3.08,1,0
249,50,108,415,2116,1674,199.3,104,33.88,224.2,92,19.06,140.1,57,6.3,15.2,2,4.1,0,0
1453,51,45,510,2116,659,91.7,104,15.59,150.6,119,12.8,63.3,103,2.85,7.7,5,2.08,1,0
640,60,209,415,2116,1674,153.7,105,26.13,188.6,87,16.03,200.8,95,9.04,10.7,2,2.89,0,0
2326,50,109,415,2116,1674,200.1,72,34.02,300.9,120,25.58,236.0,68,10.62,11.9,5,3.21,0,0
2261,37,91,510,2116,659,204.6,96,34.78,136.0,93,11.56,210.5,82,9.47,6.6,2,1.78,3,0
771,52,61,510,2116,659,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,1
1436,38,87,415,2116,1674,228.7,90,38.88,163.0,99,13.86,154.1,90,6.93,11.8,3,3.19,1,0
929,40,100,510,2116,659,58.8,104,10.0,219.5,107,18.66,152.3,118,6.85,7.1,3,1.92,0,0
1930,38,115,415,217,1674,180.0,119,30.6,198.8,126,16.9,217.1,70,9.77,12.4,3,3.35,1,0
2678,63,79,408,2116,659,50.6,62,8.6,201.4,87,17.12,146.8,121,6.61,4.2,4,1.13,2,0
760,40,36,510,217,659,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,1
1965,63,65,510,2116,659,158.1,104,26.88,322.2,81,27.39,210.0,96,9.45,8.9,6,2.4,1,0
670,51,84,408,217,1674,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,0
1922,56,120,415,2116,659,244.3,140,41.53,322.3,89,27.4,166.8,83,7.51,10.6,6,2.86,0,0
3045,39,98,415,2116,659,168.0,81,28.56,163.2,125,13.87,172.7,120,7.77,8.0,2,2.16,6,1
3208,39,152,510,2116,1674,228.1,93,38.78,136.4,106,11.59,197.3,107,8.88,9.0,2,2.43,1,0
2679,42,89,415,2116,1674,134.9,59,22.93,156.0,152,13.26,197.5,112,8.89,10.2,5,2.75,1,0
568,50,65,415,2116,659,208.8,119,35.5,142.1,106,12.08,214.6,87,9.66,12.5,4,3.38,4,0
548,44,155,408,217,1674,163.1,94,27.73,291.7,108,24.79,96.4,111,4.34,11.2,3,3.02,0,0
3285,56,62,415,2116,1674,86.3,84,14.67,238.7,99,20.29,238.4,79,10.73,12.5,1,3.38,2,0
253,50,86,415,2116,1674,83.5,96,14.2,221.1,63,18.79,349.7,75,15.74,12.6,3,3.4,0,0
1885,37,95,415,2116,1674,69.4,79,11.8,190.8,109,16.22,219.9,102,9.9,8.9,5,2.4,0,0
731,41,82,415,2116,1674,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,1
1584,52,50,415,217,659,307.1,94,52.21,289.4,78,24.6,174.9,109,7.87,8.0,3,2.16,0,0
2913,39,47,415,2116,659,165.0,89,28.05,127.3,118,10.82,284.4,95,12.8,7.7,4,2.08,2,0
2977,51,121,415,2116,1674,86.1,100,14.64,259.8,113,22.08,148.0,79,6.66,9.1,9,2.46,2,0
838,53,106,510,2116,1674,213.9,95,36.36,151.9,70,12.91,260.1,124,11.7,12.2,5,3.29,3,0
477,75,152,510,217,659,146.8,128,24.96,285.6,96,24.28,213.6,80,9.61,4.3,2,1.16,1,1
1708,39,111,510,2116,1674,197.1,117,33.51,227.8,128,19.36,214.0,101,9.63,9.3,11,2.51,0,0
1958,51,29,408,2116,1674,196.8,81,33.46,168.0,110,14.28,132.6,98,5.97,12.7,7,3.43,2,0
2959,56,119,415,217,659,173.0,101,29.41,209.4,93,17.8,231.1,91,10.4,12.2,4,3.29,0,0
476,51,146,415,2116,659,180.7,82,30.72,173.7,90,14.76,231.5,89,10.42,10.1,4,2.73,2,0
2870,45,158,408,2116,1674,172.4,114,29.31,256.6,69,21.81,235.3,104,10.59,0.0,0,0.0,2,0
1242,47,93,415,217,659,187.5,110,31.88,169.8,94,14.43,175.3,127,7.89,12.1,4,3.27,1,0
1609,60,135,415,2116,1674,194.8,97,33.12,235.3,118,20.0,174.4,126,7.85,11.0,3,2.97,1,0
1335,44,96,415,2116,1674,180.6,92,30.7,190.9,114,16.23,295.6,125,13.3,10.3,4,2.78,1,1
820,51,164,510,2116,1674,160.6,111,27.3,163.2,126,13.87,187.1,112,8.42,9.0,3,2.43,1,0
1902,63,52,415,2116,659,130.1,68,22.12,247.2,77,21.01,289.4,87,13.02,13.5,5,3.65,2,0
1510,60,68,415,2116,659,239.5,82,40.72,203.8,105,17.32,167.8,70,7.55,9.9,6,2.67,0,0
3187,38,91,408,2116,1674,147.2,121,25.02,175.2,87,14.89,136.3,80,6.13,13.3,3,3.59,2,0
725,51,150,510,2116,1674,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,1
1653,44,107,510,217,1674,194.4,83,33.05,247.8,84,21.06,245.4,93,11.04,11.2,7,3.02,2,0
330,37,63,510,2116,659,214.9,86,36.53,198.2,89,16.85,170.8,139,7.69,8.2,5,2.21,0,0
208,43,12,510,217,1674,216.7,117,36.84,116.5,126,9.9,220.0,110,9.9,9.8,4,2.65,2,0
983,56,85,415,2116,1674,102.0,95,17.34,270.2,139,22.97,148.2,105,6.67,10.7,3,2.89,1,0
1993,57,84,415,2116,1674,130.2,105,22.13,278.0,60,23.63,305.4,74,13.74,14.0,6,3.78,2,0
1931,39,76,415,2116,1674,143.7,55,24.43,173.1,108,14.71,239.1,95,10.76,5.8,6,1.57,1,0
1083,45,87,415,2116,1674,168.2,92,28.59,224.7,100,19.1,169.5,99,7.63,12.9,3,3.48,1,0
1916,40,122,415,217,659,216.4,80,36.79,249.7,90,21.22,185.9,99,8.37,12.7,4,3.43,1,0
115,37,101,408,2116,1674,89.7,118,15.25,260.1,79,22.11,170.1,93,7.65,13.5,11,3.65,5,1
869,45,22,408,2116,1674,110.3,107,18.75,166.5,93,14.15,202.3,96,9.1,9.5,5,2.57,0,0
2532,47,42,415,2116,1674,150.7,52,25.62,246.7,96,20.97,103.8,118,4.67,7.0,4,1.89,2,0
2983,45,1,415,2116,659,146.6,68,24.92,172.8,67,14.69,173.8,113,7.82,10.0,2,2.7,1,0
561,51,134,510,2116,1674,296.0,93,50.32,226.4,117,19.24,246.8,98,11.11,12.3,10,3.32,0,1
1145,63,124,510,2116,1674,157.5,70,26.78,130.7,79,11.11,193.4,98,8.7,9.6,4,2.59,3,0
1537,75,30,510,2116,1674,162.3,96,27.59,244.0,122,20.74,180.1,89,8.1,9.1,4,2.46,2,0
917,44,73,408,2116,1674,94.1,136,16.0,280.3,122,23.83,205.0,77,9.23,9.8,4,2.65,0,0
2594,50,120,408,217,1674,202.0,123,34.34,184.3,78,15.67,176.0,89,7.92,7.4,2,2.0,2,1
3069,33,87,408,2116,659,262.8,114,44.68,215.8,130,18.34,154.8,88,6.97,7.8,2,2.11,0,0
2462,38,109,510,217,1674,209.1,141,35.55,205.0,93,17.43,119.4,111,5.37,7.8,3,2.11,2,0
407,50,74,415,2116,659,174.6,107,29.68,310.6,115,26.4,234.7,92,10.56,9.0,4,2.43,1,0
3059,60,46,415,2116,1674,122.2,67,20.77,167.2,62,14.21,194.8,98,8.77,9.7,6,2.62,1,0
803,43,92,415,2116,659,243.1,92,41.33,213.8,92,18.17,228.7,104,10.29,12.1,2,3.27,2,0
2690,57,118,408,2116,1674,189.3,119,32.18,233.5,112,19.85,270.9,104,12.19,10.0,1,2.7,2,0
2231,40,85,510,2116,659,283.2,110,48.14,239.7,108,20.37,149.5,80,6.73,6.3,1,1.7,5,0
1224,36,69,510,2116,1674,195.3,70,33.2,216.7,108,18.42,259.9,119,11.7,12.5,4,3.38,3,0
1627,42,180,510,2116,1674,139.0,96,23.63,224.9,64,19.12,170.8,118,7.69,15.7,5,4.24,2,0
1897,45,106,408,2116,1674,52.2,106,8.87,220.1,113,18.71,112.3,95,5.05,11.4,2,3.08,2,0
1403,53,81,415,2116,659,130.1,117,22.12,196.0,61,16.66,139.3,123,6.27,11.4,5,3.08,0,0
2268,40,87,510,2116,1674,184.5,81,31.37,172.0,103,14.62,183.4,96,8.25,13.7,3,3.7,3,0
1710,36,17,510,2116,659,153.1,115,26.03,185.9,59,15.8,224.3,102,10.09,10.0,1,2.7,6,1
383,41,141,415,2116,659,185.4,87,31.52,178.5,128,15.17,218.3,107,9.82,8.0,3,2.16,4,0
415,34,87,408,217,659,171.2,138,29.1,185.8,102,15.79,227.6,97,10.24,10.8,3,2.92,1,0
336,39,112,415,2116,1674,170.5,113,28.99,193.2,129,16.42,188.0,91,8.46,11.2,6,3.02,0,0
318,37,57,510,2116,1674,192.8,68,32.78,158.0,86,13.43,235.5,105,10.6,12.7,6,3.43,1,0
1109,45,65,415,2116,1674,148.7,80,25.28,259.0,94,22.02,149.5,107,6.73,12.7,6,3.43,2,0
332,40,105,408,2116,1674,115.5,73,19.64,267.3,83,22.72,114.2,90,5.14,13.3,5,3.59,3,0
2612,51,139,510,217,659,203.5,82,34.6,200.3,72,17.03,214.0,112,9.63,13.4,6,3.62,1,1
597,51,32,415,2116,659,232.8,97,39.58,183.5,111,15.6,206.8,111,9.31,13.0,2,3.51,0,0
309,39,121,510,2116,659,193.8,62,32.95,197.6,97,16.8,218.8,95,9.85,5.9,4,1.59,0,0
1594,56,111,415,2116,659,166.2,54,28.25,238.8,109,20.3,108.8,92,4.9,11.2,2,3.02,3,0
631,31,88,415,2116,1674,113.7,67,19.33,165.1,127,14.03,141.5,142,6.37,10.8,3,2.92,1,0
1572,55,16,408,2116,1674,209.5,89,35.62,172.8,85,14.69,94.1,102,4.23,8.8,4,2.38,1,0
343,75,191,408,2116,1674,162.0,104,27.54,241.2,120,20.5,210.4,83,9.47,10.9,7,2.94,1,0
465,39,38,408,2116,659,115.4,98,19.62,166.2,83,14.13,184.7,79,8.31,15.2,6,4.1,2,0
380,51,127,408,2116,1674,139.6,94,23.73,240.9,112,20.48,127.1,88,5.72,8.8,4,2.38,2,0
2405,25,120,510,2116,1674,134.8,94,22.92,204.1,106,17.35,238.4,109,10.73,6.7,8,1.81,1,0
2190,43,71,415,2116,1674,258.4,132,43.93,126.8,119,10.78,182.4,87,8.21,9.7,8,2.62,4,0
127,38,172,415,2116,1674,215.7,140,36.67,146.3,84,12.44,264.6,83,11.91,7.1,1,1.92,3,0
1768,51,98,408,2116,659,110.5,87,18.79,227.8,97,19.36,243.6,84,10.96,11.0,4,2.97,1,0
439,50,152,408,2116,659,239.1,105,40.65,209.1,111,17.77,268.2,130,12.07,13.3,3,3.59,5,0
1895,51,159,415,2116,1674,87.7,103,14.91,278.2,97,23.65,170.6,93,7.68,10.5,10,2.84,1,0
118,60,39,408,2116,1674,160.4,68,27.27,102.6,103,8.72,235.3,106,10.59,9.1,5,2.46,2,0
2731,43,104,415,2116,1674,118.5,92,20.15,177.8,109,15.11,255.7,98,11.51,12.1,4,3.27,1,0
502,43,155,510,2116,1674,71.2,90,12.1,304.4,119,25.87,183.3,103,8.25,8.6,4,2.32,0,0
1091,56,46,415,2116,1674,124.8,133,21.22,157.3,143,13.37,199.3,72,8.97,8.6,4,2.32,2,0
2005,50,90,415,2116,1674,37.8,80,6.43,155.3,105,13.2,175.0,111,7.88,14.2,5,3.83,3,0
2761,52,78,415,2116,659,281.2,93,47.8,178.2,101,15.15,244.2,129,10.99,6.4,5,1.73,2,0
353,51,146,415,2116,1674,169.5,93,28.82,230.9,71,19.63,269.8,115,12.14,9.0,7,2.43,2,0
1998,50,123,415,2116,1674,163.1,119,27.73,249.4,51,21.2,168.2,77,7.57,9.0,10,2.43,1,0
425,52,69,510,2116,659,268.8,78,45.7,246.6,89,20.96,271.9,102,12.24,16.4,3,4.43,0,0
1367,40,66,408,2116,659,254.9,108,43.33,243.2,135,20.67,190.8,95,8.59,5.4,3,1.46,2,0
1862,60,92,408,2116,1674,265.6,82,45.15,180.7,75,15.36,211.1,113,9.5,8.6,2,2.32,1,0
2049,47,71,510,2116,659,175.7,82,29.87,258.9,136,22.01,268.4,154,12.08,14.1,7,3.81,1,0
3065,57,105,415,2116,1674,259.3,96,44.08,175.2,97,14.89,222.4,36,10.01,12.0,5,3.24,3,0
1573,50,99,408,2116,1674,95.4,105,16.22,207.2,101,17.61,136.0,117,6.12,5.6,5,1.51,1,0
575,55,72,415,2116,1674,166.5,102,28.31,261.0,103,22.19,262.7,85,11.82,13.3,5,3.59,0,0
1880,43,138,510,217,1674,46.5,104,7.91,186.0,114,15.81,167.5,95,7.54,9.6,4,2.59,4,1
2917,57,107,510,2116,659,283.4,104,48.18,224.1,152,19.05,241.3,63,10.86,14.4,7,3.89,2,0
2929,44,13,408,2116,1674,220.4,100,37.47,211.2,79,17.95,259.3,112,11.67,13.6,8,3.67,2,0
1300,47,72,415,2116,1674,253.0,73,43.01,219.3,78,18.64,210.8,89,9.49,9.8,4,2.65,0,0
245,60,122,415,2116,1674,173.6,110,29.51,91.7,84,7.79,211.7,103,9.53,9.7,7,2.62,3,0
1579,51,47,408,2116,659,112.2,70,19.07,154.8,106,13.16,166.7,105,7.5,10.6,2,2.86,0,0
1793,53,47,408,2116,659,112.8,150,19.18,243.9,97,20.73,178.7,112,8.04,13.2,6,3.56,2,0
2643,55,125,408,2116,1674,169.3,90,28.78,156.0,138,13.26,210.8,106,9.49,11.6,6,3.13,2,0
1904,51,135,415,2116,1674,239.9,91,40.78,177.1,104,15.05,217.2,118,9.77,5.9,3,1.59,2,0
1556,55,100,408,2116,659,246.6,94,41.92,141.4,112,12.02,189.8,109,8.54,13.0,5,3.51,1,0
1265,38,128,510,2116,1674,187.3,84,31.84,270.8,95,23.02,206.4,68,9.29,10.1,5,2.73,1,0
1665,55,111,510,2116,1674,176.4,62,29.99,201.0,124,17.09,150.4,138,6.77,11.2,2,3.02,0,0
543,50,166,415,217,659,175.8,126,29.89,253.6,76,21.56,128.5,72,5.78,11.4,5,3.08,1,0
1899,40,86,415,2116,1674,217.8,93,37.03,214.7,95,18.25,228.7,70,10.29,11.3,7,3.05,0,0
2496,50,48,415,2116,1674,171.9,98,29.22,159.0,127,13.52,139.5,101,6.28,7.6,3,2.05,2,0
3051,51,148,415,217,1674,233.5,81,39.7,187.7,71,15.95,122.3,97,5.5,9.6,2,2.59,0,1
1329,41,88,415,2116,659,219.5,78,37.32,222.1,94,18.88,188.3,92,8.47,16.1,5,4.35,1,0
3313,60,94,415,2116,1674,190.4,91,32.37,92.0,107,7.82,224.8,108,10.12,13.6,17,3.67,2,0
3097,75,173,510,2116,1674,109.4,103,18.6,101.3,111,8.61,167.3,106,7.53,7.8,7,2.11,1,0
1939,50,95,415,2116,1674,198.4,113,33.73,235.9,144,20.05,325.6,99,14.65,10.1,3,2.73,0,0
2663,44,96,415,2116,1674,173.9,111,29.56,287.4,105,24.43,204.8,91,9.22,9.1,7,2.46,1,0
444,52,98,415,217,659,245.5,54,41.74,292.7,83,24.88,184.0,90,8.28,10.8,7,2.92,1,0
1360,42,129,415,217,1674,267.4,78,45.46,204.2,85,17.36,111.7,146,5.03,5.9,4,1.59,1,0
3239,36,93,510,217,1674,168.4,114,28.63,276.0,127,23.46,196.2,48,8.83,11.4,3,3.08,1,0
800,31,141,510,2116,659,187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,5,2.84,3,0
2875,55,88,415,2116,1674,181.9,90,30.92,151.5,87,12.88,143.0,100,6.44,7.5,3,2.03,1,0
1967,53,116,408,2116,1674,159.4,79,27.1,179.5,88,15.26,167.8,71,7.55,9.7,2,2.62,6,1
2535,75,106,510,2116,1674,194.8,133,33.12,213.4,73,18.14,190.8,92,8.59,11.5,7,3.11,0,0
651,37,138,510,2116,659,155.2,139,26.38,268.3,79,22.81,186.4,71,8.39,9.7,4,2.62,3,0
2632,40,183,415,2116,659,171.2,104,29.1,193.6,74,16.46,196.5,85,8.84,10.2,4,2.75,1,0
2091,43,132,510,2116,1674,163.2,80,27.74,167.6,90,14.25,87.5,90,3.94,6.2,10,1.67,1,0
897,51,137,510,2116,1674,206.4,122,35.09,128.0,102,10.88,194.5,84,8.75,8.8,5,2.38,2,0
1245,39,91,415,217,1674,145.0,89,24.65,175.8,102,14.94,223.7,151,10.07,16.7,3,4.51,2,1
2765,53,116,415,2116,659,232.9,90,39.59,152.1,94,12.93,344.3,82,15.49,10.7,6,2.89,1,0
1168,43,76,415,2116,1674,299.5,125,50.92,226.7,92,19.27,210.7,134,9.48,13.7,4,3.7,0,1
536,50,130,408,2116,1674,115.6,129,19.65,167.8,104,14.26,141.8,124,6.38,12.6,9,3.4,1,0
1567,53,105,415,2116,1674,106.4,71,18.09,240.1,83,20.41,147.7,114,6.65,5.3,4,1.43,6,1
1352,53,42,408,2116,1674,196.5,89,33.41,241.3,123,20.51,143.2,105,6.44,4.0,7,1.08,0,0
307,51,79,510,2116,1674,220.9,107,37.55,192.2,97,16.34,161.0,74,7.25,12.2,2,3.29,1,0
2457,39,93,408,2116,1674,179.3,93,30.48,188.8,65,16.05,253.2,88,11.39,12.1,5,3.27,1,0
966,50,132,415,2116,1674,83.4,110,14.18,232.2,137,19.74,146.7,114,6.6,7.6,5,2.05,1,0
2943,40,131,510,2116,1674,187.9,110,31.94,200.5,101,17.04,202.6,125,9.12,10.2,11,2.75,2,0
105,60,165,415,2116,1674,216.6,126,36.82,190.8,104,16.22,224.7,123,10.11,12.4,8,3.35,0,0
1485,50,70,408,2116,1674,198.6,111,33.76,213.9,115,18.18,171.2,105,7.7,10.6,6,2.86,2,0
234,50,55,510,2116,1674,189.0,100,32.13,118.5,99,10.07,248.1,87,11.16,17.1,6,4.62,0,0
1228,43,57,408,217,659,234.5,130,39.87,195.2,116,16.59,268.8,94,12.1,11.4,4,3.08,2,0
1553,52,99,408,2116,659,87.7,103,14.91,223.0,86,18.96,182.3,112,8.2,7.3,4,1.97,2,0
2455,56,134,415,2116,1674,204.7,108,34.8,143.1,105,12.16,165.8,84,7.46,11.0,4,2.97,6,0
3207,37,54,415,2116,1674,247.5,85,42.08,225.4,93,19.16,244.3,132,10.99,10.2,2,2.75,2,1
2708,50,119,408,2116,1674,294.2,100,50.01,232.5,53,19.76,195.0,64,8.78,9.0,1,2.43,0,1
1810,57,77,510,2116,1674,144.9,136,24.63,151.3,115,12.86,252.4,73,11.36,12.3,3,3.32,2,0
159,45,87,510,217,1674,167.3,119,28.44,198.5,119,16.87,133.1,88,5.99,11.0,6,2.97,1,0
362,47,80,415,2116,1674,268.7,120,45.68,301.0,147,25.59,167.0,140,7.52,5.8,1,1.57,2,1
2936,44,120,415,2116,659,221.9,114,37.72,254.7,84,21.65,250.5,117,11.27,7.2,5,1.94,2,0
